title,location,skill,type,seniority_level,est_salary,remote,description,date
Lead iOS Engineer - £80K  Benefits - Hybrid,"South East London, London",['iOS Development'],full time,2,80000,False,"Lead iOS Engineer - £80K  Benefits - Hybrid This is a new opportunity with TSB, who are looking to hire a brilliant Lead iOS Engineer Working in an agile and devops environment, you'll play a pivotal role in the design, development, and implementation of mission-critical software applications and systems. You'll be proficient in Mobile iOS development, frameworks, and technologies, and often have a deeper understanding of software architecture and design principles. The role would be perfect fo…",2024-11-20 08:41:19.315275
?Lead Full Stack Engineer - £100K Benefits - Hybrid,"London, UK",[],full time,2,100000,False,"Lead Full Stack Engineer - £100K Benefits - Hybrid A brilliant new opportunity has opened up with a well-known retail Bank for a Lead Full Stack Engineer. You'll play a pivotal role in the design, development, and implementation of mission-critical applications and systems. They leverage their extensive technical expertise and leadership skills to lead complex projects, mentor junior team members, and drive innovation across the organization. The role would be perfect for someone who loves inno…",2024-11-20 08:41:19.315275
?Lead Full Stack Engineer - £75K Benefits - Hybrid,"London, UK",[],full time,2,75000,False,"Lead Full Stack Engineer - £75K Benefits - Hybrid A brilliant new opportunity has opened up with a well-known retail Bank for a Lead Full Stack Engineer. You'll play a pivotal role in the design, development, and implementation of mission-critical applications and systems. They leverage their extensive technical expertise and leadership skills to lead complex projects, mentor junior team members, and drive innovation across the organization. The role would be perfect for someone who loves innov…",2024-11-20 08:41:19.315275
Lead Cloud Engineer - £95K  Benefits - Hybrid,"South East London, London",[],full time,2,95000,False,"Lead Cloud Engineer - £95K  Benefits - Hybrid This is a new opportunity with TSB, who are looking to hire a brilliant Lead Cloud Engineer As a Lead Cloud Engineer, you'll have SME level knowledge across Cloud Providers and Platform Engineering disciplines. You'll build Cloud Solutions to ensure the organisation can take full advantage of Cloud based technologies. The role would be perfect for someone who loves innovation, is keen to dive straight into things and have a real impact with the work…",2024-11-20 08:41:19.315275
Lead Cloud Engineer - £75K  Benefits - Hybrid,"South East London, London",[],full time,2,75000,False,"Lead Cloud Engineer - £75K  Benefits - Hybrid This is a new opportunity with TSB, who are looking to hire a brilliant Lead Cloud Engineer As a Lead Cloud Engineer, you'll have SME level knowledge across Cloud Providers and Platform Engineering disciplines. You'll build Cloud Solutions to ensure the organisation can take full advantage of Cloud based technologies. The role would be perfect for someone who loves innovation, is keen to dive straight into things and have a real impact with the work…",2024-11-20 08:41:19.315275
Enterprise Data Architect - £125K  Benefits - Hybrid,"London, UK",[],full time,2,100000,False,"Enterprise Data Architect - £125K  Benefits - Hybrid This is a new opportunity with TSB, who are looking to hire a brilliant Enterprise Data Architect The Enterprise Data Architect plays a vital role in shaping and driving the direction of our data framework, while also offering technical guidance in the relevant sector. You will be instrumental in crafting and deploying the overarching data technology strategy, ensuring it resonates with both present and upcoming business requirements. With a …",2024-11-20 08:41:19.315275
Data Engineer,UK,[],full time,2,84000,False,"Contract Data Engineer - £358 UMRELLA / £262.95 PAYE - Inside IR35 - 3 days a week onsite (choose from London, Newcastle or Coventry) The Data Engineer will play a crucial role in the Advanced Data Analytics Portfolio (DAP) by leading the development, implementation, review, and establishment of data solutions and techniques critical to our data-driven initiatives. This role is pivotal for driving data capabilities and its broader stakeholders, working in close collaboration with project manage…",2024-11-20 08:41:19.315275
Java developer,Singapore,"['Java', 'React']",full time,2,0,False,"Responsibilities: · Design and develop low-latency backend micro-services using the latest version of Java, AMPS, and Solace. · Design and develop web trading frontends using React, Redux Toolkit, Tailwind, Finsemble, and AMPS. · Implement strategic solutions for automated testing, platform monitoring, compliance controls, automated deployment, trade reconciliation, and application recovery. · Partner with key members of the trading desk and the product team to help shape product features and e…",2024-11-20 08:41:19.315275
Full-Stack Developer,"Changi, East",[],full time,2,0,False,"Company description: Changi Airport Group (CAG) is the manager of Singapore Changi Airport, a leading air hub in Asia and one of the world’s most awarded airports. As airport manager, CAG performs the key functions of airport operations, air hub development, retail and commercial activities, infrastructure development and airport emergency services. CAG also manages Seletar Airport, and through its subsidiary, Changi Airports International, it takes Changi’s presence beyond Singapore’s shores t…",2024-11-20 08:41:19.315275
Business Development Manager,Singapore,[],full time,3,0,False,"At AIA we've started an exciting movement to create a healthier, more sustainable future for everyone. It's about finding new ways to not only better people's lives, but to better the communities and environments we live in. Encompassing our ambition of helping a billion people live Healthier, Longer, Better Lives by 2030. And as part of our marketing, distribution & partnership team, you'll play a vital part in advancing this movement. From inspiring meaningful connections with customers, part…",2024-11-20 08:41:19.315275
